陳月美	Chén Yuèměi	a woman from Vietnam		B1L01-I	People
李明華	Lǐ Mínghuá	a man from Taiwan		B1L01-I	People
王開文	Wáng Kāiwén	a man from the US		B1L01-I	People
你	nǐ	you	N	B1L01-I	
來	lái	to come	V	B1L01-I	
是	shì	to be	Vst	B1L01-I	
小姐	xiǎojiě	Miss, Ms	N	B1L01-I	
嗎	ma	sentence final particle	Ptc	B1L01-I	
接	jiē	to pick sb up	V	B1L01-I	
我們	wǒmen	we, us	N	B1L01-I	
我	wǒ	I, me	N	B1L01-I	
這	zhè / zhèi	this	Det	B1L01-I	
先生	xiānshēng	Mr	N	B1L01-I	
好	hǎo	fine, well	Vs	B1L01-I	
姓	xìng	to be surnamed	Vst	B1L01-I	
叫	jiào	to be called, i.e., to have the first name xx	Vst	B1L01-I	
你們	nǐmen	you (plural)	N	B1L01-I	
臺灣/台灣	Táiwān	Taiwan		B1L01-I	Place
歡迎	huānyíng	welcome		B1L01-I	
請問	qǐngwèn	May I ask you... Excuse me,…		B1L01-I	
是的	shìde	yes		B1L01-I	
謝謝	xièxie	Thank you		B1L01-I	
不客氣	búkèqì	"You're welcome"		B1L01-I	
你好	nǐ hǎo	How are you? Hello		B1L01-I	
請	qǐng	please	V	B1L01-II	
喝	hē	to drink	V	B1L01-II	
茶	chá	tea	N	B1L01-II	
很	hěn	very	Adv	B1L01-II	
好喝	hǎohē	(lit. good to drink) to taste good	Vs	B1L01-II	
什麼	shénme	what	N	B1L01-II	
人	rén	person, people	N	B1L01-II	
喜歡	xǐhuān	to like	Vst	B1L01-II	
呢	ne	sentence final particle	Ptc	B1L01-II	
他	tā	he, him	N	B1L01-II	
不	bù	not	Adv	B1L01-II	
哪	nǎ / něi	which	Det	B1L01-II	
要	yào	to want to	Vaux	B1L01-II	
咖啡	kāfēi	coffee	N	B1L01-II	
烏龍茶	Wūlóng chá	Oolong tea		B1L01-II	
日本	Rìběn	Japan		B1L01-II	Place
美國	Měiguó	America		B1L01-II	Place
對不起	duìbùqǐ	"I'm sorry"		B1L01-II	
哪國	nǎguó / něi guó	Which country?		B1L01-II	
張怡君	Zhāng Yíjūn	a woman from Taiwan		B1L02-I	People
馬安同	Mǎ Āntóng	a man from the Republic of Honduras		B1L02-I	People
的	de	modification marker	Ptc	B1L02-I	
家人	jiārén	family (members)	N	B1L02-I	
家	jiā	home, house	N	B1L02-I	
漂亮	piàoliàng	pretty	Vs	B1L02-I	
房子	fángzi	house	N	B1L02-I	
坐	zuò	to sit	Vi	B1L02-I	
好	hǎo	OK	Ptc	B1L02-I	
有	yǒu	to have	Vst	B1L02-I	
多	duō	many	Vs-pred	B1L02-I	
照片	zhàopiàn	photo	N	B1L02-I	
都	dōu	all, both	Adv	B1L02-I	
照相	zhàoxiàng	to take a photo	V-sep	B1L02-I	
張	zhāng	measure word for flat objects (e.g., paper, tickets)	M	B1L02-I	
好看	hǎokàn	good-looking	Vs	B1L02-I	
誰	shéi	who	N	B1L02-I	
姐姐	jiějie	older sister	N	B1L02-I	
妹妹	mèimei	younger sister	N	B1L02-I	
爸爸	bàba	dad	N	B1L02-I	
媽媽	māma	mom	N	B1L02-I	
請進	qǐng jìn	Please come in!		B1L02-I	
田中誠一	Tiánzhōng Chéngyī	a man from Japan		B1L02-II	People
伯母	bómǔ	"aunt; here a polite term for a friends' mother regardless of age"	N	B1L02-II	
您	nín	you (honorific)	N	B1L02-II	
名字	míngzi	name	N	B1L02-II	
書	shū	book	N	B1L02-II	
哥哥	gēge	older brother	N	B1L02-II	
老師	lǎoshī	teacher	N	B1L02-II	
看書	kànshū	to read	V-sep	B1L02-II	
幾	jǐ	how many	N	B1L02-II	
個	ge	general measure word	M	B1L02-II	
沒	méi	not	Adv	B1L02-II	
兄弟	xiōngdì	brothers	N	B1L02-II	
姐妹	jiěmèi	sisters	N	B1L02-II	
五	wǔ	five	N	B1L02-II	
兩	liǎng	two	N	B1L02-II	
週末	zhōumò	weekend	N	B1L03-I	
聽	tīng	to listen	V	B1L03-I	
音樂	yīnyuè	music	N	B1L03-I	
運動	yùndòng	to exercise	Vi	B1L03-I	
打	dǎ	to play (ball games)	V	B1L03-I	
網球	wǎngqiú	tennis	N	B1L03-I	
棒球	bàngqiú	baseball	N	B1L03-I	
和	hàn	and, as well as	Conj	B1L03-I	
游泳	yóuyǒng	to swim	V-sep	B1L03-I	
常	cháng	often	Adv	B1L03-I	
籃球	lánqiú	basketball	N	B1L03-I	
也	yě	also	Adv	B1L03-I	
